device,device_id,station,name,reg,block,data_type,unit,scale,group
[S]温湿度-导轨V1.5,1,1,湿度,0,2,uint16,%RH,0.1,环境
[S]温湿度-导轨V1.5,1,1,温度,1,2,int16,°C,0.1,环境
[S]水浸-V1.1,2,2,水浸状态,2,2,uint16,,1.0,环境
[S]水浸-V1.1,2,2,灵敏度,16,2,uint16,,1.0,环境
[S]PT100-FTX458,3,3,通道1温度,0,2,int16,°C,0.1,温度
[S]PT100-FTX458,3,3,通道2温度,1,2,int16,°C,0.1,温度
[S]PT100-FTX458,3,3,通道3温度,2,2,int16,°C,0.1,温度
[S]PT100-FTX458,3,3,通道4温度,3,2,int16,°C,0.1,温度
[S]烟雾-SD100,4,4,烟雾浓度,0,2,uint16,%obs/m,0.1,消防
[S]CO2-MH410,5,5,CO2浓度,0,2,uint16,ppm,1.0,环境
[S]PM2.5-AQ100,6,6,PM2.5,0,2,uint16,ug/m3,0.1,环境
[S]PM2.5-AQ100,6,6,PM10,1,2,uint16,ug/m3,0.1,环境
[S]光照-LS200,7,7,照度,0,2,uint16,lux,1.0,环境
[S]噪声-NS300,8,8,噪声,0,2,uint16,dB,0.1,环境
[S]气压-BP100,9,9,气压,0,2,uint16,hPa,0.1,环境
[S]风速-WS500,10,10,风速,0,2,uint16,m/s,0.1,气象
[S]风速-WS500,10,10,风向,1,2,uint16,deg,1.0,气象
[S]液位-LT400,11,11,液位,0,2,uint16,%,0.1,过程
[S]流量-FM200,12,12,瞬时流量,0,2,uint16,m3/h,0.01,过程
[S]流量-FM200,12,12,累计流量,1,2,uint16,m3,0.1,过程
[S]压力-PT300,13,13,压力,0,2,uint16,MPa,0.001,过程
[S]电表-DTS666,14,14,有功功率,0,2,uint16,kW,0.01,能源
[S]电表-DTS666,14,14,正向电能,1,2,uint16,kWh,0.01,能源
[S]UPS-UP500,15,15,负载率,0,2,uint16,%,0.1,动力
[S]UPS-UP500,15,15,电池SOC,1,2,uint16,%,1.0,动力
[S]门禁-AC100,16,16,门状态,0,2,uint16,,1.0,安防
[S]门禁-AC100,16,16,今日刷卡,1,2,uint16,次,1.0,安防
[S]人体-PIR200,17,17,占用状态,0,2,uint16,,1.0,安防
[S]振动-VS100,18,18,振动速度,0,2,uint16,mm/s,0.01,机械
[S]振动-VS100,18,18,轴承温度,1,2,int16,°C,0.1,机械
[S]SF6-SF600,19,19,SF6浓度,0,2,uint16,ppm,1.0,电力
[S]臭氧-O3M100,20,20,臭氧,0,2,uint16,ppb,1.0,环境
[S]甲醛-HCHO50,21,21,甲醛,0,2,uint16,mg/m3,0.001,环境
[S]TVOC-VOC300,22,22,TVOC,0,2,uint16,ppb,1.0,环境
[S]继电器-RLY8,23,23,输出字,0,2,uint16,,1.0,控制
[S]DI采集-IO16,24,24,DI状态,0,2,uint16,,1.0,控制
[S]AI采集-AI8,25,25,AI通道1,0,2,uint16,mA,0.001,控制
[S]AI采集-AI8,25,25,AI通道2,1,2,uint16,mA,0.001,控制
[S]变频器-VFD750,26,26,输出频率,0,2,uint16,Hz,0.01,驱动
[S]变频器-VFD750,26,26,输出电流,1,2,uint16,A,0.01,驱动
[S]软启动-SS100,27,27,运行状态,0,2,uint16,,1.0,驱动
[S]软启动-SS100,27,27,电机电流,1,2,uint16,A,0.1,驱动
[S]空调-ACU200,28,28,回风温度,0,2,int16,°C,0.1,暖通
[S]空调-ACU200,28,28,设定温度,1,2,int16,°C,0.1,暖通
[S]柴发-DG500,29,29,转速,0,2,uint16,rpm,1.0,动力
[S]柴发-DG500,29,29,油位,1,2,uint16,%,1.0,动力
[S]BMS-BMS48,30,30,SOC,0,2,uint16,%,0.1,储能
[S]BMS-BMS48,30,30,总电压,1,2,uint16,V,0.01,储能
[S]逆变器-PV1000,31,31,发电功率,0,2,uint16,kW,0.1,能源
[S]逆变器-PV1000,31,31,日发电量,1,2,uint16,kWh,0.1,能源
[S]变压器-TT200,32,32,油温,0,2,int16,°C,0.1,电力
[S]变压器-TT200,32,32,绕组温度,1,2,int16,°C,0.1,电力
